;date;icms_sp;igp_m;ibc_br;dias_uteis;igp_m_22;ibc_br_22;igp_m_21;ibc_br_21;igp_m_20;ibc_br_20;igp_m_19;ibc_br_19;igp_m_18;ibc_br_18;igp_m_17;ibc_br_17;igp_m_16;ibc_br_16;igp_m_15;ibc_br_15;igp_m_14;ibc_br_14;igp_m_13;ibc_br_13;Licms_sp;DLicms_sp;D2igp_m;Dibc_br;D2igp_m_22;Dibc_br_22;D2igp_m_21;Dibc_br_21;D2igp_m_20;Dibc_br_20;D2igp_m_19;Dibc_br_19;D2igp_m_18;Dibc_br_18;D2igp_m_17;Dibc_br_17;D2igp_m_16;Dibc_br_16;D2igp_m_15;Dibc_br_15;D2igp_m_14;Dibc_br_14;D2igp_m_13;Dibc_br_13;22_forecast_uni_fixed;22_forecast_uni_var;22_forecast_uni_mean_var;22_forecast_multi_fixed;22_forecast_multi_var;22_forecast_multi_mean_var;21_forecast_uni_fixed;21_forecast_uni_var;21_forecast_uni_mean_var;21_forecast_multi_fixed;21_forecast_multi_var;21_forecast_multi_mean_var;20_forecast_uni_fixed;20_forecast_uni_var;20_forecast_uni_mean_var;20_forecast_multi_fixed;20_forecast_multi_var;20_forecast_multi_mean_var;19_forecast_uni_fixed;19_forecast_uni_var;19_forecast_multi_fixed;19_forecast_multi_var;19_forecast_multi_mean_var;18_forecast_uni_fixed;18_forecast_uni_var;18_forecast_uni_mean_var;18_forecast_multi_fixed;18_forecast_multi_var;18_forecast_multi_mean_var;17_forecast_uni_fixed;17_forecast_uni_var;17_forecast_uni_mean_var;17_forecast_multi_fixed;17_forecast_multi_var;17_forecast_multi_mean_var;16_forecast_uni_fixed;16_forecast_uni_var;16_forecast_uni_mean_var;16_forecast_multi_fixed;16_forecast_multi_var;16_forecast_multi_mean_var;15_forecast_uni_fixed;15_forecast_uni_var;15_forecast_uni_mean_var;15_forecast_multi_var;15_forecast_multi_mean_var;14_forecast_uni_fixed;14_forecast_uni_var;13_forecast_uni_fixed;13_forecast_uni_var;13_forecast_uni_mean_var;13_forecast_multi_var;13_forecast_multi_mean_var;14_forecast_multi_fixed;14_forecast_multi_mean_var;14_forecast_multi_var;14_forecast_uni_mean_var
2014(1);2014-01-01;9803278287;540,959;142,72;22;540,959;142,72;540,959;142,72;540,959;142,72;540,959;142,72;540,959;142,72;540,959;142,72;540,959;142,72;540,959;142,72;541,60022;141,5708073;#N/A;#N/A;23,00598269;-0,093826604;5,791;-3,05;5,791;-3,05;5,791;-3,05;5,791;-3,05;5,791;-3,05;5,791;-3,05;5,791;-3,05;5,791;-3,05;5,791;-3,05;6,43222;-4,199192732;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,066821206;-0,106655033;#N/A;#N/A;#N/A;#N/A;#N/A;-0,063060014;-0,076522764;-0,096745974;-0,119488282
2014(2);2014-02-01;9687760169;543,038;143,53;20;543,038;143,53;543,038;143,53;543,038;143,53;543,038;143,53;543,038;143,53;543,038;143,53;543,038;143,53;543,038;143,53;544,3082211;139,2106218;#N/A;#N/A;22,99412909;-0,011853598;4,668;0,81;4,668;0,81;4,668;0,81;4,668;0,81;4,668;0,81;4,668;0,81;4,668;0,81;4,668;0,81;4,668;0,81;5,9382211;-2,360185512;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,042460183;-0,029626396;#N/A;#N/A;#N/A;#N/A;#N/A;-0,038343831;-0,064269453;-0,062484819;-0,04506928
2014(3);2014-03-01;9465054143;552,087;149,03;19;552,087;149,03;552,087;149,03;552,087;149,03;552,087;149,03;552,087;149,03;552,087;149,03;552,087;149,03;552,087;149,03;546,7576081;152,004911;#N/A;#N/A;22,97087234;-0,023256746;11,128;5,5;11,128;5,5;11,128;5,5;11,128;5,5;11,128;5,5;11,128;5,5;11,128;5,5;11,128;5,5;11,128;5,5;5,157388095;12,79428922;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,023638304;0,017411647;#N/A;#N/A;#N/A;#N/A;#N/A;-0,010826194;0,005115989;-0,005790256;0,025319278
2014(4);2014-04-01;9635429591;556,42;147,69;20;556,42;147,69;556,42;147,69;556,42;147,69;556,42;147,69;556,42;147,69;556,42;147,69;556,42;147,69;556,42;147,69;549,2180173;150,0282037;#N/A;#N/A;22,98871272;0,017840382;13,382;-1,34;13,382;-1,34;13,382;-1,34;13,382;-1,34;13,382;-1,34;13,382;-1,34;13,382;-1,34;13,382;-1,34;13,382;-1,34;4,909796231;-1,976707309;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,041017057;0,049970516;#N/A;#N/A;#N/A;#N/A;#N/A;0,057418204;0,0393674;0,060137913;0,04274108
2014(5);2014-05-01;9819079302;555,679;147,14;21;555,679;147,14;555,679;147,14;555,679;147,14;555,679;147,14;555,679;147,14;555,679;147,14;555,679;147,14;555,679;147,14;551,3050458;148,5240213;#N/A;#N/A;23,0075932;0,018880473;3,592;-0,55;3,592;-0,55;3,592;-0,55;3,592;-0,55;3,592;-0,55;3,592;-0,55;3,592;-0,55;3,592;-0,55;3,592;-0,55;4,547437702;-1,504182393;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,000627943;0,000344651;#N/A;#N/A;#N/A;#N/A;#N/A;-0,003422675;-0,025395794;-0,008059867;-0,005587042
2014(6);2014-06-01;9677264495;551,554;140,88;20;551,554;140,88;551,554;140,88;551,554;140,88;551,554;140,88;551,554;140,88;551,554;140,88;551,554;140,88;551,554;140,88;553,620527;150,1164771;#N/A;#N/A;22,9930451;-0,014548093;-4,866;-6,26;-4,866;-6,26;-4,866;-6,26;-4,866;-6,26;-4,866;-6,26;-4,866;-6,26;-4,866;-6,26;-4,866;-6,26;-4,866;-6,26;4,402509658;1,592455785;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,014316235;0,009133376;#N/A;#N/A;#N/A;#N/A;#N/A;-0,018497229;-0,018326406;-0,018730272;0,011918005
2014(7);2014-07-01;9594589921;548,202;149,85;23;548,202;149,85;548,202;149,85;548,202;149,85;548,202;149,85;548,202;149,85;548,202;149,85;548,202;149,85;548,202;149,85;555,8903712;154,7767313;#N/A;#N/A;22,98446523;-0,008579878;-7,477;8,97;-7,477;8,97;-7,477;8,97;-7,477;8,97;-7,477;8,97;-7,477;8,97;-7,477;8,97;-7,477;8,97;-7,477;8,97;4,585325353;4,66025427;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,00731451;0,001545303;#N/A;#N/A;#N/A;#N/A;#N/A;0,026187303;0,010963933;0,029230477;0,002552671
2014(8);2014-08-01;9500059699;546,745;148,27;21;546,745;148,27;546,745;148,27;546,745;148,27;546,745;148,27;546,745;148,27;546,745;148,27;546,745;148,27;546,745;148,27;558,614234;153,402207;#N/A;#N/A;22,97456392;-0,009901307;-4,809;-1,58;-4,809;-1,58;-4,809;-1,58;-4,809;-1,58;-4,809;-1,58;-4,809;-1,58;-4,809;-1,58;-4,809;-1,58;-4,809;-1,58;4,993706979;-1,374524308;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,017033792;0,021843323;#N/A;#N/A;#N/A;#N/A;#N/A;0,000247566;0,000952567;0,000462203;0,019479757
2014(9);2014-09-01;9796970052;547,839;148,12;22;547,839;148,12;547,839;148,12;547,839;148,12;547,839;148,12;547,839;148,12;547,839;148,12;547,839;148,12;547,839;148,12;561,5748894;152,2357457;#N/A;#N/A;23,005339;0,030775077;-0,363;-0,15;-0,363;-0,15;-0,363;-0,15;-0,363;-0,15;-0,363;-0,15;-0,363;-0,15;-0,363;-0,15;-0,363;-0,15;-0,363;-0,15;5,684518259;-1,16646137;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,036153682;0,037151235;#N/A;#N/A;#N/A;#N/A;#N/A;0,054083041;0,056194652;0,054856119;0,035214563
2014(10);2014-10-01;10633628202;549,396;149,7;23;549,396;149,7;549,396;149,7;549,396;149,7;549,396;149,7;549,396;149,7;549,396;149,7;549,396;149,7;549,396;149,7;564,6635513;154,1602736;#N/A;#N/A;23,08728729;0,081948292;2,651;1,58;2,651;1,58;2,651;1,58;2,651;1,58;2,651;1,58;2,651;1,58;2,651;1,58;2,651;1,58;2,651;1,58;6,049317332;1,924527938;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,014768199;0,015127128;#N/A;#N/A;#N/A;#N/A;#N/A;0,026829551;0,025473882;0,029378393;0,015523685
2014(11);2014-11-01;10152442435;554,769;144,92;20;554,769;144,92;554,769;144,92;554,769;144,92;554,769;144,92;554,769;144,92;554,769;144,92;554,769;144,92;554,769;144,92;568,0515326;150,5948313;#N/A;#N/A;23,04098015;-0,046307141;6,93;-4,78;6,93;-4,78;6,93;-4,78;6,93;-4,78;6,93;-4,78;6,93;-4,78;6,93;-4,78;6,93;-4,78;6,93;-4,78;6,4766432;-3,56544228;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,001662031;-0,005554755;#N/A;#N/A;#N/A;#N/A;#N/A;-0,015214001;-0,01293969;-0,012907515;-0,00195502
2014(12);2014-12-01;11240824439;558,213;145,48;22;558,213;145,48;558,213;145,48;558,213;145,48;558,213;145,48;558,213;145,48;558,213;145,48;558,213;145,48;558,213;145,48;570,8917903;150,5495611;#N/A;#N/A;23,14281803;0,10183788;8,817;0,56;8,817;0,56;8,817;0,56;8,817;0,56;8,817;0,56;8,817;0,56;8,817;0,56;8,817;0,56;8,817;0,56;6,228238971;-0,045270206;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,073051007;0,080704618;#N/A;#N/A;#N/A;#N/A;#N/A;0,086108677;0,063841055;0,119944696;0,102165239
2015(1);2015-01-01;9987825322;562,482;138,73;21;562,482;138,73;562,482;138,73;562,482;138,73;562,482;138,73;562,482;138,73;562,482;138,73;562,482;138,73;563,6276661;143,049679;#N/A;#N/A;#N/A;#N/A;23,02463272;-0,118185307;7,713;-6,75;7,713;-6,75;7,713;-6,75;7,713;-6,75;7,713;-6,75;7,713;-6,75;7,713;-6,75;7,713;-6,75;8,8586661;-2,430320995;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,101783867;-0,101794661;-0,082633293;-0,112463807;-0,117565546;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2015(2);2015-02-01;9919476772;564,004;136,55;18;564,004;136,55;564,004;136,55;564,004;136,55;564,004;136,55;564,004;136,55;564,004;136,55;564,004;136,55;567,6857853;141,5003;#N/A;#N/A;#N/A;#N/A;23,01776601;-0,006866708;5,791;-2,18;5,791;-2,18;5,791;-2,18;5,791;-2,18;5,791;-2,18;5,791;-2,18;5,791;-2,18;5,791;-2,18;9,472785296;-1,549379035;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,022213169;-0,028541332;-0,048104243;-0,072646129;-0,079176304;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2015(3);2015-03-01;9871726570;569,536;149,5;22;569,536;149,5;569,536;149,5;569,536;149,5;569,536;149,5;569,536;149,5;569,536;149,5;569,536;149,5;570,8080571;150,730021;#N/A;#N/A;#N/A;#N/A;23,01294061;-0,004825406;7,054;12,95;7,054;12,95;7,054;12,95;7,054;12,95;7,054;12,95;7,054;12,95;7,054;12,95;7,054;12,95;7,180391015;9,229721055;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,029537447;0,013828378;0,042879898;0,038929588;0,036273486;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2015(4);2015-04-01;10376399630;576,175;142,43;20;576,175;142,43;576,175;142,43;576,175;142,43;576,175;142,43;576,175;142,43;576,175;142,43;576,175;142,43;574,2329055;147,6585405;#N/A;#N/A;#N/A;#N/A;23,0627998;0,049859192;12,171;-7,07;12,171;-7,07;12,171;-7,07;12,171;-7,07;12,171;-7,07;12,171;-7,07;12,171;-7,07;12,171;-7,07;6,547120162;-3,071480534;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,033194558;0,046976778;0,03306999;0,036760127;0,029486743;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2015(5);2015-05-01;9740005806;578,516;139,81;20;578,516;139,81;578,516;139,81;578,516;139,81;578,516;139,81;578,516;139,81;578,516;139,81;578,516;139,81;576,8169535;146,1154024;#N/A;#N/A;#N/A;#N/A;22,99950755;-0,063292247;8,98;-2,62;8,98;-2,62;8,98;-2,62;8,98;-2,62;8,98;-2,62;8,98;-2,62;8,98;-2,62;8,98;-2,62;6,008896417;-1,543138106;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,001003799;0,002539809;-0,005099536;-0,01766775;-0,018835026;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2015(6);2015-06-01;10323070506;582,401;138,53;21;582,401;138,53;582,401;138,53;582,401;138,53;582,401;138,53;582,401;138,53;582,401;138,53;582,401;138,53;578,5474044;144,1146071;#N/A;#N/A;#N/A;#N/A;23,05764708;0,058139532;6,226;-1,28;6,226;-1,28;6,226;-1,28;6,226;-1,28;6,226;-1,28;6,226;-1,28;6,226;-1,28;6,226;-1,28;4,314498935;-2,00079526;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,008960074;0,006320952;0,011849279;0,013649855;0,010283887;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2015(7);2015-07-01;10294871978;586,426;143,15;23;586,426;143,15;586,426;143,15;586,426;143,15;586,426;143,15;586,426;143,15;586,426;143,15;586,426;143,15;580,3409013;150,0076803;#N/A;#N/A;#N/A;#N/A;23,05491174;-0,00273534;7,91;4,62;7,91;4,62;7,91;4,62;7,91;4,62;7,91;4,62;7,91;4,62;7,91;4,62;7,91;4,62;3,523947814;5,893073155;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,000802519;0,000799024;-0,012753061;0,021478783;0,014218097;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2015(8);2015-08-01;9864942434;588,042;140,83;21;588,042;140,83;588,042;140,83;588,042;140,83;588,042;140,83;588,042;140,83;588,042;140,83;588,042;140,83;582,3140604;149,237535;#N/A;#N/A;#N/A;#N/A;23,01225314;-0,042658601;5,641;-2,32;5,641;-2,32;5,641;-2,32;5,641;-2,32;5,641;-2,32;5,641;-2,32;5,641;-2,32;5,641;-2,32;3,766656018;-0,770145289;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,018853691;0,01981798;0,024822145;0,000534219;-0,001597009;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2015(9);2015-09-01;10510189119;593,606;138,07;21;593,606;138,07;593,606;138,07;593,606;138,07;593,606;138,07;593,606;138,07;593,606;138,07;593,606;138,07;584,9344737;149,5829767;#N/A;#N/A;#N/A;#N/A;23,07561102;0,063357875;7,18;-2,76;7,18;-2,76;7,18;-2,76;7,18;-2,76;7,18;-2,76;7,18;-2,76;7,18;-2,76;7,18;-2,76;4,593572336;0,345441737;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,029234534;0,036662215;0,025406663;0,039899998;0,035920014;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2015(10);2015-10-01;10566387057;604,832;140,19;21;604,832;140,19;604,832;140,19;604,832;140,19;604,832;140,19;604,832;140,19;604,832;140,19;604,832;140,19;587,8591461;149,4221341;#N/A;#N/A;#N/A;#N/A;23,08094377;0,005332751;16,79;2,12;16,79;2,12;16,79;2,12;16,79;2,12;16,79;2,12;16,79;2,12;16,79;2,12;16,79;2,12;5,54508564;-0,16084267;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,016963958;0,017008758;0,024625971;0,027412974;0,019495912;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2015(11);2015-11-01;10296081459;614,051;135,94;20;614,051;135,94;614,051;135,94;614,051;135,94;614,051;135,94;614,051;135,94;614,051;135,94;614,051;135,94;591,2687291;146,2605136;#N/A;#N/A;#N/A;#N/A;23,05502922;-0,025914548;20,445;-4,25;20,445;-4,25;20,445;-4,25;20,445;-4,25;20,445;-4,25;20,445;-4,25;20,445;-4,25;20,445;-4,25;6,334255416;-3,161620502;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,011883093;-0,006496103;-0,008305929;-0,005414242;-0,01262074;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2015(12);2015-12-01;11094379336;617,044;136,22;22;617,044;136,22;617,044;136,22;617,044;136,22;617,044;136,22;617,044;136,22;617,044;136,22;617,044;136,22;595,1119758;147,2780024;#N/A;#N/A;#N/A;#N/A;23,12970445;0,074675232;12,212;0,28;12,212;0,28;12,212;0,28;12,212;0,28;12,212;0,28;12,212;0,28;12,212;0,28;12,212;0,28;7,252829786;1,017488828;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,071500014;0,079892119;0,080664762;0,114629557;0,111514636;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
